id,Parent Sector (1),Parent Sector (2),Sub Sector (1),Sub Sector (2),Sub Sector (3),name,slug,website,repository,organizations,origins,Comments,Notes,Comments
567,Social Development and Education,,Education and Youth,,,eduActiv8,eduactiv8,www.eduactiv8.org,https://github.com/imiolek-ireneusz/eduActiv8,eduActiv8,Digital Public Goods Alliance,,,
64,Social Development and Education,,Education and Youth,,,EduApp4Syria,eduappsyria,norad.no/eduapp4syria,https://github.com/Norad-Eduapp4syria/Norad-Eduapp4syria,Norad,Digital Public Goods Alliance,,,
641,Social Development and Education,,Education and Youth,,,EduNOSS,edunoss,www.aiti-kace.com.gh/noss,https://repos.nos.aiti-kace.com.gh/noss/pool/,"Ghana-India Kofi Annan Centre of Excellence in ICT (GI-KACE) - an Agency of the Ministry of Communications and Digitalisation, Government of Ghana. ",Digital Public Goods Alliance,,,
146,Social Development and Education,,Education and Youth,,,eKitabu,ekitabu,www.ekitabu.com,https://github.com/eKitabu/Accessible-EPUB-Toolkit,United Nations Children’s Fund (UNICEF),Digital Public Goods Alliance,,,
321,Environment and Climate ,,Environmental management in industry and cities,,,ElectricityMap,electricitymap,www.electricitymap.org/?page=map&solar=false&remote=true&wind=false,https://github.com/tmrowco/electricitymap-contrib,Tomorrow,Digital Public Goods Alliance,,,
591,Environment and Climate ,,Environment and policy,,,Emoncms,emoncms,emoncms.org,https://github.com/emoncms/emoncms,OpenEnergyMonitor,Digital Public Goods Alliance,,,
246,"Digital, Data, and Technology",,Data Collection,,,Encompass,encompass,encompass.thebeaconlabs.org,https://github.com/bayesimpact/encompass,Bayes Impact,Digital Public Goods Alliance,,,
405,Environment and Climate ,,Environment and policy,,,EnergyData.Info,energydatainfo,energydata.info,github.com/energy-data/energydata.info,Energy Data,Digital Public Goods Alliance,,,
298,Environment and Climate ,,Environment and policy,,,EnergyPlus,energyplus,energyplus.net,https://github.com/NREL/EnergyPlus,National Renewable Energy Laboratory,Digital Public Goods Alliance,,,
285,"Digital, Data, and Technology",,Data Management and Policy,,,Enketo,enketo,,https://github.com/enketo/enketo-core,Enketo,Digital Public Goods Alliance,,,
339,Environment and Climate ,,Environment and policy,,,Environmental Layers,environmental_layers,,https://github.com/publiclab/leaflet-environmental-layers,PublicLab,Digital Public Goods Alliance,,,
449,"Digital, Data, and Technology",Health,Platform Creation,Data Managament and Policy,Infectious Diseases,erouška,erouka,erouska.cz,https://github.com/covid19cz/erouska-android,COVID19CZ,Digital Public Goods Alliance,,,
251,"Security, Peace, Reconstruction",,Refuge and migration,,,Eviction maps,eviction_maps,evictionlab.org/map/#/2016?geography=states,https://github.com/EvictionLab/eviction-maps,EvictionLab,Digital Public Goods Alliance,,,
549,Rural Development,,Agricultural Policy and Food,,,FarmBot,farmbot,farm.bot,https://github.com/FarmBot/farmbot_os,FarmBot Inc,Digital Public Goods Alliance,,,
62,Rural Development,,Agricultural Policy and Food,,,FarmData,farmdata,sourceforge.net/projects/farmdata,,FarmData,Digital Public Goods Alliance,,,
65,Rural Development,,Agricultural Policy and Food,,,farmOS,farmos,farmos.org,https://github.com/farmOS/farmOS,farmOS,Digital Public Goods Alliance,,,
512,"Digital, Data, and Technology",Health,Platform Creation,Infectious Diseases,,FindTheMasks,findthemasks,findthemasks.com,https://github.com/findthemasks/findthemasks,FindTheMasks,Digital Public Goods Alliance,,,
